,heartRate,thermal,user_id
2019-04-01 09:04:15.243000064+08:00,81.0,10,Utopic Unicorn
2019-04-01 11:04:19.131000064+08:00,76.0,10,Utopic Unicorn
2019-04-01 13:04:28.680999936+08:00,80.0,10,Utopic Unicorn
2019-04-01 15:04:17.260999936+08:00,91.0,10,Utopic Unicorn
2019-04-01 17:04:14.453000192+08:00,80.0,10,Utopic Unicorn
2019-04-02 09:04:19.877000192+08:00,84.0,10,Utopic Unicorn
2019-04-02 11:04:17.144000+08:00,75.0,10,Utopic Unicorn
2019-04-02 13:04:18.984999936+08:00,83.0,10,Utopic Unicorn
2019-04-02 13:44:29.461999872+08:00,87.0,10,Utopic Unicorn
2019-04-02 15:18:20.180000+08:00,71.0,9,Utopic Unicorn
2019-04-02 17:37:41.974999808+08:00,99.0,11,Utopic Unicorn
2019-04-03 09:13:46.380999936+08:00,64.0,10,Utopic Unicorn
2019-04-03 11:13:48.583000064+08:00,70.0,10,Utopic Unicorn
2019-04-03 13:13:46.568999936+08:00,89.0,11,Utopic Unicorn
2019-04-03 14:59:37.428000+08:00,111.0,11,Utopic Unicorn
2019-04-03 15:13:48.704999936+08:00,81.0,11,Utopic Unicorn
2019-04-03 17:13:48.983000064+08:00,79.0,10,Utopic Unicorn
2019-04-03 18:18:20.496000+08:00,81.0,10,Utopic Unicorn
2019-04-04 09:13:49.352999936+08:00,78.0,10,Utopic Unicorn
2019-04-04 11:13:52.589999872+08:00,78.0,11,Utopic Unicorn
2019-04-04 13:13:48.576000+08:00,73.0,10,Utopic Unicorn
2019-04-04 15:13:49.884999936+08:00,73.0,10,Utopic Unicorn
2019-04-04 16:04:13.500000+08:00,77.0,10,Utopic Unicorn
2019-04-04 17:13:52.466000128+08:00,75.0,11,Utopic Unicorn
2019-04-05 09:14:59.268000+08:00,77.0,10,Utopic Unicorn
2019-04-05 11:15:01.164000+08:00,63.0,10,Utopic Unicorn
2019-04-05 13:14:59.371000064+08:00,80.0,9,Utopic Unicorn
2019-04-05 13:28:59.644999936+08:00,81.0,10,Utopic Unicorn
2019-04-05 14:06:39.917999872+08:00,74.0,10,Utopic Unicorn
2019-04-05 14:08:25.957999872+08:00,79.0,10,Utopic Unicorn
2019-04-05 15:28:18.136000+08:00,77.0,11,Utopic Unicorn
2019-04-05 16:51:55.312999936+08:00,99.0,11,Utopic Unicorn
2019-04-05 17:15:00.940999936+08:00,62.0,9,Utopic Unicorn
2019-04-05 18:18:31.976000+08:00,97.0,10,Utopic Unicorn
2019-04-06 09:23:18.924000+08:00,67.0,9,Utopic Unicorn
2019-04-06 12:07:59.890000128+08:00,71.0,10,Utopic Unicorn
2019-04-06 12:13:17.117000192+08:00,75.0,9,Utopic Unicorn
2019-04-06 13:15:04.795000064+08:00,83.0,9,Utopic Unicorn
2019-04-06 16:46:02.064000+08:00,90.0,9,Utopic Unicorn
2019-04-06 17:15:00.400999936+08:00,85.0,9,Utopic Unicorn
2019-04-07 09:15:05.684999936+08:00,50.0,10,Utopic Unicorn
2019-04-07 15:36:13.134000128+08:00,53.0,11,Utopic Unicorn
